strain,date,region_original,country_original,division,Ns
hCoV-19/Sweden/2029321995/2021,2021-08-03,Europe,Sweden,Stockholm,0
hCoV-19/France/HDF-IPP21086/2021,2021-08-03,Europe,France,Hauts de France,0
hCoV-19/France/IDF-IPP21138/2021,2021-08-03,Europe,France,Ile de France,0
hCoV-19/France/IDF-IPP21161/2021,2021-08-03,Europe,France,Ile de France,0
hCoV-19/France/IDF-IPP21162/2021,2021-08-03,Europe,France,Ile de France,0
hCoV-19/France/IDF-IPP21163/2021,2021-08-03,Europe,France,Ile de France,0
hCoV-19/France/HDF-IPP21344/2021,2021-08-03,Europe,France,Hauts de France,0
hCoV-19/France/HDF-IPP21353/2021,2021-08-03,Europe,France,Hauts de France,0
hCoV-19/France/CVL-IPP21507/2021,2021-08-03,Europe,France,Centre-Val de Loire,13
hCoV-19/France/OCC-NI-2108031558/2021,2021-08-03,Europe,France,Occitanie,1
hCoV-19/Belgium/UGent-8540/2021,2021-08-03,Europe,Belgium,Gent,295
hCoV-19/Belgium/UGent-8535/2021,2021-08-03,Europe,Belgium,Gent,295
hCoV-19/Belgium/UGent-8492/2021,2021-08-03,Europe,Belgium,Gent,866
hCoV-19/Denmark/DCGC-144717/2021,2021-08-04,Europe,Denmark,Hovedstaden,312
hCoV-19/Denmark/DCGC-145100/2021,2021-08-04,Europe,Denmark,Hovedstaden,434
hCoV-19/Denmark/DCGC-145542/2021,2021-08-04,Europe,Denmark,Hovedstaden,15
hCoV-19/England/PHEC-Q308Q6D6/2021,2021-08-04,Europe,United Kingdom,England,15
hCoV-19/England/PHEC-Q308Q6E5/2021,2021-08-04,Europe,United Kingdom,England,22
hCoV-19/Belgium/UZA-UA-CV2082167644/2021,2021-08-04,Europe,Belgium,Mechelen,0
hCoV-19/Belgium/UZA-UA-CV2154072431/2021,2021-08-04,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2082181081/2021,2021-08-04,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2082186034/2021,2021-08-04,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2235652259/2021,2021-08-04,Europe,Belgium,Antwerpen,0
hCoV-19/England/BRBR-1AEDE5D/2021,2021-08-04,Europe,United Kingdom,England,0
hCoV-19/Italy/PIE-15856834/2021,2021-08-04,Europe,Italy,Piedmont,101
hCoV-19/Netherlands/NB-MVD-CWGS2101814/2021,2021-08-04,Europe,Netherlands,North Brabant,180
hCoV-19/Belgium/ULG-17761/2021,2021-08-04,Europe,Belgium,Brussels,970
hCoV-19/Germany/BE-RKI-I-196851/2021,2021-08-04,Europe,Germany,Berlin,227
hCoV-19/Germany/BE-RKI-I-196905/2021,2021-08-04,Europe,Germany,Berlin,230
hCoV-19/Germany/NW-RKI-I-199275/2021,2021-08-04,Europe,Germany,North Rhine Westphalia,416
hCoV-19/Belgium/MBLGOT131610/2021,2021-08-04,Europe,Belgium,Brabant Wallon,3
hCoV-19/England/PHEC-R30AR865/2021,2021-08-04,Europe,United Kingdom,England,54
hCoV-19/Belgium/AZKLINA121-193738/2021,2021-08-04,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/ZNA_21608703/2021,2021-08-04,Europe,Belgium,Antwerpen,0
hCoV-19/Germany/SN-RKI-I-202345/2021,2021-08-04,Europe,Germany,Saxony,3
hCoV-19/Germany/NW-RKI-I-204829/2021,2021-08-04,Europe,Germany,North Rhine Westphalia,503
hCoV-19/Switzerland/VS-ICH-2210808733/2021,2021-08-04,Europe,Switzerland,Valais,259
hCoV-19/Belgium/ULG-18196/2021,2021-08-04,Europe,Belgium,Brussels,0
hCoV-19/Sweden/DC112431701/2021,2021-08-04,Europe,Sweden,Halland,37
hCoV-19/Sweden/20572469P/2021,2021-08-04,Europe,Sweden,Varmland,0
hCoV-19/Ireland/D-NVRL-M34IRL79697/2021,2021-08-04,Europe,Ireland,Dublin,1
hCoV-19/USA/AZ-CDC-ASC210270450/2021,2021-08-04,North America,USA,Arizona,2
hCoV-19/Belgium/UGent-9422/2021,2021-08-04,Europe,Belgium,Gent,593
hCoV-19/Romania/Bucuresti_466947/2021,2021-08-04,Europe,Romania,Bucharest,91
hCoV-19/Germany/BW-RKI-I-223096/2021,2021-08-04,Europe,Germany,Baden-Wuerttemberg,0
hCoV-19/Denmark/DCGC-146190/2021,2021-08-05,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-146708/2021,2021-08-05,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-146957/2021,2021-08-05,Europe,Denmark,Hovedstaden,880
hCoV-19/Denmark/DCGC-147102/2021,2021-08-05,Europe,Denmark,Hovedstaden,225
hCoV-19/Belgium/Jessa_11-2131-004549ZOL/2021,2021-08-05,Europe,Belgium,Limburg BE,643
hCoV-19/Belgium/Jessa_11-2131-004551ZOL/2021,2021-08-05,Europe,Belgium,Limburg BE,156
hCoV-19/England/MILK-1B02A6C/2021,2021-08-05,Europe,United Kingdom,England,0
hCoV-19/England/BRBR-1AFAB38/2021,2021-08-05,Europe,United Kingdom,England,285
hCoV-19/Denmark/DCGC-148922/2021,2021-08-05,Europe,Denmark,Midtjylland,1486
hCoV-19/Italy/FVG-UD-355434/2021,2021-08-05,Europe,Italy,Friuli Venezia Giulia,786
hCoV-19/England/HSLL-1AF6677/2021,2021-08-05,Europe,United Kingdom,England,234
hCoV-19/Switzerland/BL-ETHZ-33671014/2021,2021-08-05,Europe,Switzerland,Basel-Land,49
hCoV-19/Switzerland/VD-CHUV-GEN6105/2021,2021-08-05,Europe,Switzerland,Vaud,12
hCoV-19/Germany/NW-RKI-I-197366/2021,2021-08-05,Europe,Germany,North Rhine Westphalia,0
hCoV-19/Germany/NW-RKI-I-197811/2021,2021-08-05,Europe,Germany,North Rhine Westphalia,0
hCoV-19/Germany/NW-RKI-I-198628/2021,2021-08-05,Europe,Germany,North Rhine Westphalia,144
hCoV-19/Germany/BY-RKI-I-201580/2021,2021-08-05,Europe,Germany,Bavaria,83
hCoV-19/Belgium/ULG-17876/2021,2021-08-05,Europe,Belgium,Brussels,5
hCoV-19/USA/NJ-CDC-FG-073151/2021,2021-08-05,North America,USA,New Jersey,2127
hCoV-19/USA/NY-CDC-FG-073018/2021,2021-08-05,North America,USA,New York,156
hCoV-19/Switzerland/BE-UHB-42991459/2021,2021-08-05,Europe,Switzerland,Bern,1169
hCoV-19/Denmark/DCGC-153743/2021,2021-08-05,Europe,Denmark,Midtjylland,575
hCoV-19/Belgium/MBLGPF740564/2021,2021-08-05,Europe,Belgium,Brussels,0
hCoV-19/England/PHEC-R307R3EF/2021,2021-08-05,Europe,United Kingdom,England,563
hCoV-19/England/PHEC-R307R428/2021,2021-08-05,Europe,United Kingdom,England,278
hCoV-19/England/PHEC-R308R885/2021,2021-08-05,Europe,United Kingdom,England,76
hCoV-19/England/PHEC-R308R894/2021,2021-08-05,Europe,United Kingdom,England,0
hCoV-19/England/PHEC-R308R964/2021,2021-08-05,Europe,United Kingdom,England,137
hCoV-19/France/OCC-CHU-TLS-2121714683/2021,2021-08-05,Europe,France,Occitanie,0
hCoV-19/Sweden/2363275831/2021,2021-08-05,Europe,Sweden,Stockholm,0
hCoV-19/Switzerland/VD-ETHZ-33672184/2021,2021-08-05,Europe,Switzerland,Vaud,50
hCoV-19/Belgium/UGent-8685/2021,2021-08-05,Europe,Belgium,Gent,866
hCoV-19/Belgium/UGent-8860/2021,2021-08-05,Europe,Belgium,Gent,1140
hCoV-19/Netherlands/LB-RIVM-53523/2021,2021-08-05,Europe,Netherlands,Limburg,0
hCoV-19/England/NEWC-1B2DC1A/2021,2021-08-05,Europe,United Kingdom,England,718
hCoV-19/Denmark/DCGC-147396/2021,2021-08-06,Europe,Denmark,Midtjylland,0
hCoV-19/Denmark/DCGC-147481/2021,2021-08-06,Europe,Denmark,Hovedstaden,274
hCoV-19/Denmark/DCGC-148133/2021,2021-08-06,Europe,Denmark,Midtjylland,0
hCoV-19/Denmark/DCGC-148905/2021,2021-08-06,Europe,Denmark,Hovedstaden,0
hCoV-19/Belgium/Aalst-OLVZ-823226201/2021,2021-08-06,Europe,Belgium,Halle-Vilvoorde,4
hCoV-19/USA/MA-CDCBI-CRSP_4FE42SYEEG4UOZLF/2021,2021-08-06,North America,USA,Massachusetts,481
hCoV-19/Belgium/CHUNamur13535516/2021,2021-08-06,Europe,Belgium,Luxembourg BE,1403
hCoV-19/Germany/BE-ChVir-LB-210813-5824/2021,2021-08-06,Europe,Germany,Berlin,469
hCoV-19/Belgium/ULG-17774/2021,2021-08-06,Europe,Belgium,Liège,0
hCoV-19/Switzerland/BL-ETHZ-33675795/2021,2021-08-06,Europe,Switzerland,Basel-Land,0
hCoV-19/Switzerland/BL-ETHZ-33675850/2021,2021-08-06,Europe,Switzerland,Basel-Land,42
hCoV-19/Switzerland/BL-ETHZ-33675773/2021,2021-08-06,Europe,Switzerland,Basel-Land,34
hCoV-19/Germany/BE-RKI-I-198568/2021,2021-08-06,Europe,Germany,Berlin,0
hCoV-19/Germany/NW-RKI-I-198777/2021,2021-08-06,Europe,Germany,North Rhine Westphalia,1
hCoV-19/Germany/HE-RKI-I-200652/2021,2021-08-06,Europe,Germany,Hesse,25
hCoV-19/Germany/HE-RKI-I-200744/2021,2021-08-06,Europe,Germany,Hesse,303
hCoV-19/Italy/VEN-ULSS3GEN-7001746432_VE/2021,2021-08-06,Europe,Italy,Veneto,0
hCoV-19/Belgium/ULG-17875/2021,2021-08-06,Europe,Belgium,Liège,5
hCoV-19/Belgium/IPG-524/2021,2021-08-06,Europe,Belgium,Wallonia,569
hCoV-19/Belgium/UZA-UA-CV2254537654/2021,2021-08-06,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2238522550/2021,2021-08-06,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2150103919/2021,2021-08-06,Europe,Belgium,Sint-Niklaas,578
hCoV-19/Belgium/MBLGOT141636/2021,2021-08-06,Europe,Belgium,Brabant Wallon,9
hCoV-19/Belgium/UZA-UA-CV2239407573/2021,2021-08-06,Europe,Belgium,Antwerpen,0
hCoV-19/Netherlands/NH-RIVM-51053/2021,2021-08-06,Europe,Netherlands,North Holland,0
hCoV-19/Netherlands/OV-RIVM-52293/2021,2021-08-06,Europe,Netherlands,Overijssel,0
hCoV-19/Netherlands/NH-RIVM-51053/2021,2021-08-06,Europe,Netherlands,North Holland,0
hCoV-19/Netherlands/OV-RIVM-52293/2021,2021-08-06,Europe,Netherlands,Overijssel,0
hCoV-19/Belgium/ULG-18215/2021,2021-08-06,Europe,Belgium,Brussels,0
hCoV-19/France/HDF-P203-21321M0536/2021,2021-08-06,Europe,France,Hauts de France,5
hCoV-19/Belgium/UGent-8810/2021,2021-08-06,Europe,Belgium,Gent,592
hCoV-19/Belgium/UGent-8792/2021,2021-08-06,Europe,Belgium,Gent,866
hCoV-19/Belgium/UGent-8938/2021,2021-08-06,Europe,Belgium,Gent,866
hCoV-19/Spain/CL-COV11604/2021,2021-08-06,Europe,Spain,Castilla y Leon,48
hCoV-19/Denmark/DCGC-147634/2021,2021-08-07,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-148148/2021,2021-08-07,Europe,Denmark,Hovedstaden,16
hCoV-19/Denmark/DCGC-149107/2021,2021-08-07,Europe,Denmark,Syddanmark,0
hCoV-19/Spain/MD-HGUGM-5785517/2021,2021-08-07,Europe,Spain,Madrid,0
hCoV-19/Belgium/Jessa_55-2131-001408/2021,2021-08-07,Europe,Belgium,Limburg BE,107
hCoV-19/Belgium/Aalst-OLVZ-823387001/2021,2021-08-07,Europe,Belgium,Aalst,0
hCoV-19/France/ARA-CFD210046316801/2021,2021-08-07,Europe,France,Auvergne-Rhône-Alpes,259
hCoV-19/USA/MA-CDCBI-CRSP_KFUENUZFGHKGE4HD/2021,2021-08-07,North America,USA,Massachusetts,611
hCoV-19/USA/MA-CDCBI-CRSP_KPQN3OLIIPBA4SUE/2021,2021-08-07,North America,USA,Massachusetts,624
hCoV-19/USA/MA-CDCBI-CRSP_WKBZFOPD2QR3POFN/2021,2021-08-07,North America,USA,Massachusetts,764
hCoV-19/Switzerland/ZH-UZH-IMV-3ba4d90f/2021,2021-08-07,Europe,Switzerland,Zürich,21
hCoV-19/Belgium/ULG-17802/2021,2021-08-07,Europe,Belgium,Brussels,0
hCoV-19/Germany/RP-RKI-I-198867/2021,2021-08-07,Europe,Germany,Rheinland-Pfalz,0
hCoV-19/Germany/NW-RKI-I-199282/2021,2021-08-07,Europe,Germany,North Rhine Westphalia,74
hCoV-19/Germany/BW-RKI-I-199417/2021,2021-08-07,Europe,Germany,Baden-Wuerttemberg,5
hCoV-19/Belgium/ULG-17867/2021,2021-08-07,Europe,Belgium,Liège,1
hCoV-19/Denmark/DCGC-152787/2021,2021-08-07,Europe,Denmark,Syddanmark,209
hCoV-19/Denmark/DCGC-153846/2021,2021-08-07,Europe,Denmark,Hovedstaden,0
hCoV-19/Belgium/UZA-UA-CV2265241707/2021,2021-08-07,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2312446654/2021,2021-08-07,Europe,Belgium,Antwerpen,326
hCoV-19/France/OCC-CHU-TLS-6002294588/2021,2021-08-07,Europe,France,Occitanie,0
hCoV-19/Netherlands/ZH-RIVM-51332/2021,2021-08-07,Europe,Netherlands,South Holland,0
hCoV-19/Netherlands/ZH-RIVM-51340/2021,2021-08-07,Europe,Netherlands,South Holland,0
hCoV-19/Netherlands/FR-RIVM-52280/2021,2021-08-07,Europe,Netherlands,Friesland,0
hCoV-19/Netherlands/OV-RIVM-52318/2021,2021-08-07,Europe,Netherlands,Overijssel,0
hCoV-19/Netherlands/ZH-RIVM-51332/2021,2021-08-07,Europe,Netherlands,South Holland,0
hCoV-19/Netherlands/ZH-RIVM-51340/2021,2021-08-07,Europe,Netherlands,South Holland,0
hCoV-19/Netherlands/FR-RIVM-52280/2021,2021-08-07,Europe,Netherlands,Friesland,0
hCoV-19/Netherlands/OV-RIVM-52318/2021,2021-08-07,Europe,Netherlands,Overijssel,0
hCoV-19/Belgium/ULG-18174/2021,2021-08-07,Europe,Belgium,Brussels,0
hCoV-19/Belgium/ULG-18191/2021,2021-08-07,Europe,Belgium,Brussels,0
hCoV-19/France/HDF-P207-21321M0543/2021,2021-08-07,Europe,France,Hauts de France,0
hCoV-19/Norway/16953/2021,2021-08-07,Europe,Norway,Oslo,0
hCoV-19/Denmark/DCGC-148326/2021,2021-08-08,Europe,Denmark,Hovedstaden,912
hCoV-19/Denmark/DCGC-148399/2021,2021-08-08,Europe,Denmark,Syddanmark,485
hCoV-19/Denmark/DCGC-148878/2021,2021-08-08,Europe,Denmark,Syddanmark,34
hCoV-19/Denmark/DCGC-148903/2021,2021-08-08,Europe,Denmark,Hovedstaden,184
hCoV-19/Denmark/DCGC-149039/2021,2021-08-08,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-149217/2021,2021-08-08,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-149278/2021,2021-08-08,Europe,Denmark,Hovedstaden,0
hCoV-19/Belgium/Jessa_55-2131-001619/2021,2021-08-08,Europe,Belgium,Limburg BE,88
hCoV-19/Denmark/DCGC-149594/2021,2021-08-08,Europe,Denmark,Midtjylland,0
hCoV-19/Denmark/DCGC-149763/2021,2021-08-08,Europe,Denmark,Hovedstaden,94
hCoV-19/Netherlands/UT-UMCU-3113132/2021,2021-08-08,Europe,Netherlands,Utrecht,0
hCoV-19/Belgium/CHUNamur13538783/2021,2021-08-08,Europe,Belgium,Hainaut,1383
hCoV-19/Denmark/DCGC-150598/2021,2021-08-08,Europe,Denmark,Midtjylland,0
hCoV-19/Denmark/DCGC-150799/2021,2021-08-08,Europe,Denmark,Midtjylland,0
hCoV-19/Denmark/DCGC-150894/2021,2021-08-08,Europe,Denmark,Midtjylland,0
hCoV-19/Denmark/DCGC-151359/2021,2021-08-08,Europe,Denmark,Midtjylland,0
hCoV-19/Belgium/UZA-UA-CV2312807574/2021,2021-08-08,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2312937314/2021,2021-08-08,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-MI21312258/2021,2021-08-08,Europe,Netherlands,Etten-Leur,0
hCoV-19/Belgium/UZA-UA-CV2312832533/2021,2021-08-08,Europe,Belgium,Antwerpen,14
hCoV-19/Belgium/UZA-UA-CV2312928018/2021,2021-08-08,Europe,Belgium,Antwerpen,40
hCoV-19/England/PHEC-R306RE58/2021,2021-08-08,Europe,United Kingdom,England,14
hCoV-19/England/PHEC-R307R051/2021,2021-08-08,Europe,United Kingdom,England,14
hCoV-19/England/PHEC-R30ARA23/2021,2021-08-08,Europe,United Kingdom,England,0
hCoV-19/England/PHEC-R30ARB6C/2021,2021-08-08,Europe,United Kingdom,England,254
hCoV-19/Denmark/DCGC-156535/2021,2021-08-08,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-156615/2021,2021-08-08,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-157739/2021,2021-08-08,Europe,Denmark,Hovedstaden,0
hCoV-19/Switzerland/VD-CHUV-GEN6341/2021,2021-08-08,Europe,Switzerland,Vaud,259
hCoV-19/Belgium/ZNA_21621042/2021,2021-08-08,Europe,Belgium,Antwerpen,137
hCoV-19/Israel/SMC-7012696/2021,2021-08-08,Asia,Israel,,231
hCoV-19/Belgium/UGent-8873/2021,2021-08-08,Europe,Belgium,Gent,569
hCoV-19/Belgium/UGent-8897/2021,2021-08-08,Europe,Belgium,Gent,569
hCoV-19/Denmark/DCGC-149798/2021,2021-08-09,Europe,Denmark,Hovedstaden,895
hCoV-19/USA/MA-CDCBI-CRSP_3UOYMQFHLEYJ3XZL/2021,2021-08-09,North America,USA,Massachusetts,519
hCoV-19/Belgium/CHUNamur13541715/2021,2021-08-09,Europe,Belgium,Namur,297
hCoV-19/Denmark/DCGC-150707/2021,2021-08-09,Europe,Denmark,Hovedstaden,11
hCoV-19/Denmark/DCGC-151208/2021,2021-08-09,Europe,Denmark,Midtjylland,0
hCoV-19/USA/MA-CDCBI-CRSP_4SX3XWZ7XOF3HGLC/2021,2021-08-09,North America,USA,Massachusetts,1966
hCoV-19/USA/MA-CDCBI-CRSP_MS6HIXIM3PFK6PIV/2021,2021-08-09,North America,USA,Massachusetts,1008
hCoV-19/Germany/HH-RKI-I-199340/2021,2021-08-09,Europe,Germany,Hamburg,0
hCoV-19/Germany/BW-RKI-I-201713/2021,2021-08-09,Europe,Germany,Baden-Wuerttemberg,172
hCoV-19/Germany/BW-RKI-I-201719/2021,2021-08-09,Europe,Germany,Baden-Wuerttemberg,180
hCoV-19/Germany/BW-RKI-I-201749/2021,2021-08-09,Europe,Germany,Baden-Wuerttemberg,178
hCoV-19/Belgium/ULG-17930/2021,2021-08-09,Europe,Belgium,Liège,1
hCoV-19/Belgium/ULG-17934/2021,2021-08-09,Europe,Belgium,Hainaut,0
hCoV-19/Belgium/ULG-17935/2021,2021-08-09,Europe,Belgium,Liège,0
hCoV-19/Belgium/MBLGPF744406/2021,2021-08-09,Europe,Belgium,Brussels,16
hCoV-19/Switzerland/GE-HUG-35002456/2021,2021-08-09,Europe,Switzerland,Geneva,184
hCoV-19/Switzerland/GE-HUG-34999360/2021,2021-08-09,Europe,Switzerland,Geneva,187
hCoV-19/Belgium/UZA-UA-CV2152795465/2021,2021-08-09,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2152795667/2021,2021-08-09,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2313015217/2021,2021-08-09,Europe,Belgium,Antwerpen,0
hCoV-19/Belgium/UZA-UA-CV2317283823/2021,2021-08-09,Europe,Belgium,Antwerpen,0
hCoV-19/Italy/FVG-UD-358874/2021,2021-08-09,Europe,Italy,Friuli Venezia Giulia,283
hCoV-19/Switzerland/AG-UHB-65302290/2021,2021-08-09,Europe,Switzerland,Aargau,84
hCoV-19/England/PHEC-R30ARBC6/2021,2021-08-09,Europe,United Kingdom,England,44
hCoV-19/England/PHEC-R30ARBE4/2021,2021-08-09,Europe,United Kingdom,England,408
hCoV-19/England/PHEC-S307SEEE/2021,2021-08-09,Europe,United Kingdom,England,58
hCoV-19/Denmark/DCGC-156662/2021,2021-08-09,Europe,Denmark,Hovedstaden,0
hCoV-19/Netherlands/NH-RIVM-51665/2021,2021-08-09,Europe,Netherlands,North Holland,0
hCoV-19/Netherlands/NH-RIVM-52163/2021,2021-08-09,Europe,Netherlands,North Holland,0
hCoV-19/Netherlands/ZH-RIVM-52357/2021,2021-08-09,Europe,Netherlands,South Holland,0
hCoV-19/Netherlands/NH-RIVM-51665/2021,2021-08-09,Europe,Netherlands,North Holland,0
hCoV-19/Netherlands/NH-RIVM-52163/2021,2021-08-09,Europe,Netherlands,North Holland,0
hCoV-19/Netherlands/ZH-RIVM-52357/2021,2021-08-09,Europe,Netherlands,South Holland,0
hCoV-19/Belgium/ULG-18229/2021,2021-08-09,Europe,Belgium,Vlaams-Brabant,1
hCoV-19/Belgium/ULG-18250/2021,2021-08-09,Europe,Belgium,Brussels,1
hCoV-19/Belgium/ULG-18260/2021,2021-08-09,Europe,Belgium,Brussels,0
hCoV-19/Belgium/ULG-18261/2021,2021-08-09,Europe,Belgium,Liège,0
hCoV-19/USA/VA-CDC-LC0178873/2021,2021-08-09,North America,USA,Virginia,0
hCoV-19/USA/NC-CDC-LC0179720/2021,2021-08-09,North America,USA,North Carolina,0
hCoV-19/France/HDF-P228-21321C1028/2021,2021-08-09,Europe,France,Hauts de France,0
hCoV-19/Sweden/20579856P/2021,2021-08-09,Europe,Sweden,Vastra Gotaland,0
hCoV-19/France/OCC-NI-2108092314/2021,2021-08-09,Europe,France,Occitanie,28
hCoV-19/Belgium/UGent-8885/2021,2021-08-09,Europe,Belgium,Gent,2488
hCoV-19/Belgium/UGent-8922/2021,2021-08-09,Europe,Belgium,Gent,337
hCoV-19/Belgium/UGent-8906/2021,2021-08-09,Europe,Belgium,Gent,569
hCoV-19/Belgium/UGent-8924/2021,2021-08-09,Europe,Belgium,Gent,570
hCoV-19/Belgium/UGent-9152/2021,2021-08-09,Europe,Belgium,Gent,569
hCoV-19/Belgium/UGent-9034/2021,2021-08-09,Europe,Belgium,Gent,858
hCoV-19/Belgium/UGent-8926/2021,2021-08-09,Europe,Belgium,Gent,866
hCoV-19/Belgium/UZA-UA-47863524/2021,2021-08-09,Europe,Belgium,Antwerpen,0
hCoV-19/Netherlands/UT-RIVM-53423/2021,2021-08-09,Europe,Netherlands,Utrecht,0
hCoV-19/France/IDF-IPP22034/2021,2021-08-09,Europe,France,Ile de France,0
hCoV-19/France/IDF-IPP22032/2021,2021-08-09,Europe,France,Ile de France,334
hCoV-19/USA/MA-MASPHL-04660/2021,2021-08-09,North America,USA,Massachusetts,295
hCoV-19/Belgium/AZDelta-08478-2131R/2021,2021-08-10,Europe,Belgium,Roeselare,139
hCoV-19/Belgium/AZDelta-16713-2131R/2021,2021-08-10,Europe,Belgium,Roeselare,125
hCoV-19/Denmark/DCGC-149640/2021,2021-08-10,Europe,Denmark,Hovedstaden,0
hCoV-19/Denmark/DCGC-149965/2021,2021-08-10,Europe,Denmark,Syddanmark,0
hCoV-19/Denmark/DCGC-150445/2021,2021-08-10,Europe,Denmark,Hovedstaden,0
hCoV-19/USA/MA-CDCBI-CRSP_KYR2UEHWYWIH343K/2021,2021-08-10,North America,USA,Massachusetts,454
hCoV-19/England/MILK-1B63234/2021,2021-08-10,Europe,United Kingdom,England,0
hCoV-19/Belgium/CHUNamur13544156/2021,2021-08-10,Europe,Belgium,Hainaut,297
hCoV-19/Belgium/CHUNamur13543555/2021,2021-08-10,Europe,Belgium,Namur,849
hCoV-19/Belgium/CHUNamur13543577/2021,2021-08-10,Europe,Belgium,Brabant Wallon,593
hCoV-19/Belgium/CHUNamur13543804/2021,2021-08-10,Europe,Belgium,Namur,1163
hCoV-19/Denmark/DCGC-151514/2021,2021-08-10,Europe,Denmark,Syddanmark,0
hCoV-19/Germany/NW-RKI-I-198787/2021,2021-08-10,Europe,Germany,North Rhine Westphalia,0
hCoV-19/Germany/NW-RKI-I-198788/2021,2021-08-10,Europe,Germany,North Rhine Westphalia,21
hCoV-19/Germany/NW-RKI-I-198790/2021,2021-08-10,Europe,Germany,North Rhine Westphalia,0
hCoV-19/England/MILK-1B81DE4/2021,2021-08-10,Europe,United Kingdom,England,0
hCoV-19/Germany/NW-RKI-I-201279/2021,2021-08-10,Europe,Germany,North Rhine Westphalia,0
hCoV-19/Germany/BW-RKI-I-201722/2021,2021-08-10,Europe,Germany,Baden-Wuerttemberg,180
hCoV-19/Belgium/UZA-UA-CV2312783326/2021,2021-08-10,Europe,Belgium,Antwerpen,0
hCoV-19/England/PHEC-R30ARD93/2021,2021-08-10,Europe,United Kingdom,England,11
hCoV-19/England/PHEC-R30ARDA2/2021,2021-08-10,Europe,United Kingdom,England,0
hCoV-19/Italy/PIE-15858188/2021,2021-08-10,Europe,Italy,Piedmont,42
hCoV-19/Switzerland/TI-EOC-26115000/2021,2021-08-10,Europe,Switzerland,Ticino,52
hCoV-19/Germany/BE-RKI-I-201919/2021,2021-08-10,Europe,Germany,Berlin,180
hCoV-19/Germany/BW-RKI-I-202354/2021,2021-08-10,Europe,Germany,Baden-Wuerttemberg,7
hCoV-19/Germany/BW-RKI-I-202385/2021,2021-08-10,Europe,Germany,Baden-Wuerttemberg,6
hCoV-19/Germany/BY-RKI-I-202778/2021,2021-08-10,Europe,Germany,Bavaria,150
hCoV-19/Germany/BB-RKI-I-203657/2021,2021-08-10,Europe,Germany,Brandenburg,268
hCoV-19/Netherlands/UT-RIVM-52266/2021,2021-08-10,Europe,Netherlands,Utrecht,0
hCoV-19/Netherlands/UT-RIVM-52266/2021,2021-08-10,Europe,Netherlands,Utrecht,0
hCoV-19/Netherlands/NH-RIVM-53031/2021,2021-08-10,Europe,Netherlands,North Holland,0
hCoV-19/Netherlands/NH-RIVM-53064/2021,2021-08-10,Europe,Netherlands,North Holland,0
hCoV-19/Netherlands/NH-RIVM-53097/2021,2021-08-10,Europe,Netherlands,North Holland,0
hCoV-19/Italy/UMB-IZSGC-301645-1-70/2021,2021-08-10,Europe,Italy,Umbria,15
hCoV-19/Gibraltar/EXP_11082021-1435705-40/2021,2021-08-10,Europe,United Kingdom,Gibraltar,569
hCoV-19/USA/VA-CDC-LC0188102/2021,2021-08-10,North America,USA,Virginia,16
hCoV-19/England/PHEC-S30BS679/2021,2021-08-10,Europe,United Kingdom,England,436
hCoV-19/Sweden/DC112489511/2021,2021-08-10,Europe,Sweden,Kalmar,0
hCoV-19/France/IDF-IPP21625/2021,2021-08-10,Europe,France,Ile de France,0
hCoV-19/Belgium/UMONS-N711777801/2021,2021-08-10,Europe,Belgium,Hainaut,569
hCoV-19/France/HDF-IPP21646/2021,2021-08-10,Europe,France,Hauts de France,41
hCoV-19/France/CVL-IPP21704/2021,2021-08-10,Europe,France,Centre-Val de Loire,0
hCoV-19/France/IDF-IPP21747/2021,2021-08-10,Europe,France,Ile de France,0
hCoV-19/France/IDF-IPP21761/2021,2021-08-10,Europe,France,Ile de France,0
hCoV-19/France/IDF-IPP21789/2021,2021-08-10,Europe,France,Ile de France,0
hCoV-19/France/CVL-IPP21812/2021,2021-08-10,Europe,France,Centre-Val de Loire,0
hCoV-19/France/CVL-IPP21813/2021,2021-08-10,Europe,France,Centre-Val de Loire,0
hCoV-19/France/CVL-IPP21815/2021,2021-08-10,Europe,France,Centre-Val de Loire,0
