strain	reason	clock_deviation	date	date_submitted	country	Nextstrain_clade	pango_lineage	missing_data	divergence	rare_mutations	submitting_lab
Indonesia/KR-BTM-LIPI-NIHRD-0110/2021	clock_filter_lower_limit	-11.0	2021-05-25	2021-08-08	Indonesia	20A	B.1	4510.0	17.0	10.0	Indonesian Institute of Sciences (LIPI)/National Agency of Research and Innovation (BRIN) and National Institute of Health Research and Development (NIHRD)
Indonesia/KR-BTM-LIPI-NIHRD-0111/2021	clock_filter_lower_limit	-14.0	2021-05-27	2021-08-08	Indonesia	20A	B.1	5043.0	14.0	7.0	Indonesian Institute of Sciences (LIPI)/National Agency of Research and Innovation (BRIN) and National Institute of Health Research and Development (NIHRD)
Indonesia/KR-BTM-LIPI-NIHRD-0112/2021	clock_filter_old,clock_filter_lower_limit	-16.0	2021-05-16	2021-08-08	Indonesia	20A	B.1	7749.0	11.0	7.0	Indonesian Institute of Sciences (LIPI)/National Agency of Research and Innovation (BRIN) and National Institute of Health Research and Development (NIHRD)
Indonesia/KR-NIHRD-WGS05898/2021	clock_plus_rare	15.0	2021-04-05	2021-07-17	Indonesia	20A	B.1.466.2	745.0	41.0	34.0	National Institute of Health Research and Development
Indonesia/KR-NIHRD-WGS06130/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	63.0	2021-05-18	2021-07-17	Indonesia	20A	B.1	775.0	91.0	84.0	National Institute of Health Research and Development
Indonesia/KR-NIHRD-WGS06224/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	27.0	2021-05-19	2021-07-30	Indonesia	20A	B.1.466.2	0.0	56.0	49.0	National Institute of Health Research and Development
Indonesia/KR-NIHRD-WGS06291/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	27.0	2021-05-19	2021-07-13	Indonesia	20A	B.1.466.2	0.0	56.0	49.0	National Institute of Health Research and Development
Indonesia/KR-NIHRD-WGS07811/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	21.0	2021-05-07	2021-07-30	Indonesia	20A	B.1.631	1344.0	49.0	43.0	National Institute of Health Research and Development
Indonesia/KR-NIHRD-WGS07812/2021	clock_filter_old,clock_plus_rare,rare_mutation	17.0	2021-05-07	2021-07-30	Indonesia	20A	AU.2	619.0	45.0	40.0	National Institute of Health Research and Development
Indonesia/KS-NIHRD-WGS04767/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	31.0	2021-05-18	2021-06-20	Indonesia	20A	B.1.466.2	582.0	59.0	52.0	National Institute of Health Research and Development
Indonesia/KS-NIHRD-WGS08162/2021	clock_filter_old,clock_plus_rare	17.0	2021-06-25	2021-08-26	Indonesia	21J (Delta)	AY.23	341.0	53.0	24.0	National Institute of Health Research and Development
Indonesia/KS-NIHRD-WGS08163/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	31.0	2021-06-23	2021-08-20	Indonesia	20A	AY.3	525.0	62.0	57.0	National Institute of Health Research and Development
Indonesia/KS-NIHRD-WGS08165/2021	clock_filter_old,clock_plus_rare	16.0	2021-06-24	2021-08-20	Indonesia	21J (Delta)	B.1.617.2	734.0	52.0	27.0	National Institute of Health Research and Development
Indonesia/KS-NIHRD-WGS08166/2021	clock_plus_rare,rare_mutation	13.0	2021-06-28	2021-08-26	Indonesia	21J (Delta)	AY.23	80.0	49.0	38.0	National Institute of Health Research and Development
Indonesia/KS-NIHRD-WGS08172/2021	clock_filter_recent,clock_filter_old,clock_plus_rare	26.0	2021-06-26	2021-08-20	Indonesia	21J (Delta)	AY.23	657.0	62.0	32.0	National Institute of Health Research and Development
Indonesia/KT-NIHRD-WGS02202/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	22.0	2021-03-20	2021-07-14	Indonesia	20A	B.1.470	260.0	47.0	42.0	National Institute of Health Research and Development
Indonesia/KT-NIHRD-WGS04273/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	88.0	2021-05-10	2021-07-14	Indonesia	20A	AY.23	0.0	116.0	111.0	National Institute of Health Research and Development
Indonesia/KU-NIHRD-WGS02179/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	88.0	2021-03-19	2021-07-08	Indonesia	20A	AZ.3	2263.0	113.0	107.0	National Institute of Health Research and Development
Indonesia/KU-NIHRD-WGS02201/2021	clock_filter_old,clock_plus_rare,rare_mutation	20.0	2021-03-15	2021-07-11	Indonesia	20A	B.1	221.0	45.0	38.0	National Institute of Health Research and Development
Indonesia/KU-NIHRD-WGS03642/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	23.0	2021-04-06	2021-07-30	Indonesia	20B	B.1.1.61	280.0	51.0	44.0	National Institute of Health Research and Development
Indonesia/KWG-LIPI-NIHRD-0073/2021	clock_filter_lower_limit	-12.0	2021-05-29	2021-09-13	Indonesia	21J (Delta)	AY.39.1	7960.0	22.0	2.0	National Research and Innovation Agency (BRIN-Indonesia, VenomCoV Project Team)
Indonesia/LA-NIHRD-WGS07001/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	50.0	2021-06-10	2021-07-08	Indonesia	20A	B.1.466.2	69.0	80.0	73.0	National Institute of Health Research and Development
Indonesia/MA-NIHRD-WGS08069/2021	clock_filter_old,clock_plus_rare	18.0	2021-06-21	2021-07-30	Indonesia	21J (Delta)	AY.23	403.0	54.0	23.0	National Institute of Health Research and Development
Indonesia/MA-NIHRD-WGS08077/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	40.0	2021-06-23	2021-07-30	Indonesia	20B	B.1.1	17.0	72.0	65.0	National Institute of Health Research and Development
Indonesia/NB-NIHRD-WGS02319/2021	clock_filter_old,clock_plus_rare	17.0	2021-03-10	2021-05-05	Indonesia	20B	B.1.214.2	0.0	43.0	27.0	National Institute of Health Research and Development
Indonesia/NB-NIHRD-WGS04569/2021	clock_plus_rare	11.0	2021-05-19	2021-06-20	Indonesia	20A	B.1.466.2	931.0	40.0	33.0	National Institute of Health Research and Development
Indonesia/NB-NIHRD-WGS07272/2021	clock_filter_old	17.0	2021-06-15	2021-08-26	Indonesia	21J (Delta)	AY.23	0.0	53.0	20.0	National Institute of Health Research and Development
Indonesia/NT-NIHRD-C002122961/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	32.0	2021-02-04	2021-03-29	Indonesia	20A	B.1.466.2	162.0	55.0	48.0	National Institute of Health Research and Development
Indonesia/NT-NIHRD-WGS05153/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	37.0	2021-04-04	2021-07-14	Indonesia	20A	B.1.466.2	0.0	63.0	56.0	National Institute of Health Research and Development
Indonesia/NT-NIHRD-WGS05155/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	45.0	2021-04-04	2021-07-08	Indonesia	20A	B.1.466.2	744.0	71.0	64.0	National Institute of Health Research and Development
Indonesia/NT-NIHRD-WGS05163/2021	clock_filter_old,clock_plus_rare	20.0	2021-04-03	2021-08-09	Indonesia	21J (Delta)	AY.23	0.0	51.0	22.0	National Institute of Health Research and Development
Indonesia/NT-NIHRD-WGS05433/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	42.0	2021-04-20	2021-07-17	Indonesia	20A	B.1.466.2	5.0	69.0	62.0	National Institute of Health Research and Development
Indonesia/NT-NIHRD-WGS05435/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	271.0	2021-04-20	2021-07-20	Indonesia	21A (Delta)	AY.24	16.0	299.0	283.0	National Institute of Health Research and Development
Indonesia/PA-NIHRD-00838/2021	QC_mixed_sites	-1.0	2021-07-15	2021-10-13	Indonesia	21J (Delta)	AY.23	74.0	35.0	4.0	National Institute of Health Research and Development
Indonesia/RI-NIHRD-WGS08247/2021	clock_filter_old,clock_plus_rare	18.0	2021-06-17	2021-08-26	Indonesia	21J (Delta)	AY.23	183.0	54.0	25.0	National Institute of Health Research and Development
Indonesia/RI-NIHRD-WGS08269/2021	clock_filter_old,clock_plus_rare	20.0	2021-06-29	2021-08-26	Indonesia	21J (Delta)	AY.23	836.0	56.0	29.0	National Institute of Health Research and Development
Indonesia/RSDS-RCVTD-UNAIR-35-C/2020	clock_filter_old	16.0	2020-06-24	2021-03-26	Indonesia	20A	B.1.470	1.0	26.0	21.0	Research Center for Vaccine Technology and Development, Institute of Tropical Disease, Airlangga University
Indonesia/SB-NIHRD-WGS09026/2021	clock_filter_recent,clock_filter_old,clock_plus_rare	26.0	2021-07-12	2021-08-13	Indonesia	21J (Delta)	AY.23	23.0	63.0	32.0	National Institute of Health Research and Development
Indonesia/SB_22/2020	clock_filter_lower_limit	-13.0	2020-10-12	2021-04-02	Indonesia	19A	B	3987.0	0.0	0.0	Diagnostic and Research Center of Infectious Diseases, Medical Faculty, Andalas University
Indonesia/SG-NIHRD-PME21007996/2021	clock_plus_rare	15.0	2021-01-01	2021-05-01	Indonesia	20A	B.1.466.2	0.0	36.0	32.0	National Institute of Health Research and Development
Indonesia/SR-NIHRD-WGS00924/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	166.0	2021-02-05	2021-03-16	Indonesia	20B	B.1.1	10.0	191.0	184.0	National Institute of Health Research and Development
Indonesia/SS-NIHRD-WGS002222/2021	clock_filter_old,clock_plus_rare	17.0	2021-01-14	2021-05-08	Indonesia	21B (Kappa)	B.1.617.1	530.0	43.0	24.0	National Institute of Health Research and Development
Indonesia/SS-NIHRD-WGS00429/2021	clock_filter_old,clock_plus_rare	19.0	2021-01-05	2021-07-08	Indonesia	20A	B.1.459	906.0	40.0	33.0	National Institute of Health Research and Development
Indonesia/SS-NIHRD-WGS00430/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	60.0	2021-01-13	2021-07-08	Indonesia	20A	B.1	363.0	81.0	76.0	National Institute of Health Research and Development
Indonesia/SS-NIHRD-WGS00441/2021	clock_filter_recent,clock_filter_old,clock_plus_rare	21.0	2021-01-08	2021-05-08	Indonesia	21A (Delta)	B.1.617.2	264.0	43.0	25.0	National Institute of Health Research and Development
Indonesia/SU-GSILab-EOCRU-581595/2021	clock_filter_lower_limit	-11.0	2021-05-29	2021-08-02	Indonesia	20A	B.1.466.2	5339.0	17.0	15.0	Genomik Solidaritas Indonesia Laboratorium
Indonesia/SU-GSILab-EOCRU-581634/2021	clock_filter_old,clock_filter_lower_limit	-17.0	2021-03-31	2021-08-03	Indonesia	19A	B.1	5254.0	6.0	4.0	Genomik Solidaritas Indonesia Laboratorium
Indonesia/SU-GSILab-EOCRU-581643/2021	clock_filter_lower_limit	-12.0	2021-04-06	2021-08-03	Indonesia	20A	B.1	2936.0	13.0	12.0	Genomik Solidaritas Indonesia Laboratorium
Indonesia/SU-NIHRD-WGS01071/2021	clock_plus_rare	14.0	2021-01-25	2021-03-16	Indonesia	20A	B.1.466.2	12.0	36.0	29.0	National Institute of Health Research and Development
Indonesia/SU-NIHRD-WGS01984/2021	clock_plus_rare	14.0	2021-03-08	2021-07-08	Indonesia	20A	B.1.466.2	1700.0	38.0	31.0	National Institute of Health Research and Development
Indonesia/SU-NIHRD-WGS01986/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	32.0	2021-03-08	2021-07-08	Indonesia	20A	B.1.466.2	1494.0	56.0	49.0	National Institute of Health Research and Development
Indonesia/SU-NIHRD-WGS01987/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	23.0	2021-03-08	2021-07-14	Indonesia	20A	B.1.459	152.0	47.0	40.0	National Institute of Health Research and Development
Indonesia/SU-NIHRD-WGS08023/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	49.0	2021-06-26	2021-07-11	Indonesia	21J (Delta)	AY.23	0.0	85.0	72.0	National Institute of Health Research and Development
Indonesia/SU-NIHRD-WGS08027/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	185.0	2021-06-26	2021-07-08	Indonesia	21J (Delta)	AY.39	0.0	221.0	200.0	National Institute of Health Research and Development
Indonesia/YO-UGM-10017/2021	clock_filter_lower_limit	-12.0	2021-05-15	2021-08-16	Indonesia	20A	B.1.466.2	7322.0	15.0	11.0	Genetics Working Group (Pokja Genetik) Faculty of Medicine, Public Health and Nursing Universitas Gadjah Mada (FK-KMK UGM); Disease Investigation Center Wates Ministry of Agriculture Indonesia; Department of Microbiology FK-KMK UGM; Laboratorium Diagnostik Yayasan Tahija World Mosquito Program (WMP) Yogyakarta Center for Tropical Medicine FK-KMK UGM; Integrated Research Center FK-KMK UGM; Department of Computer Science and Electronics FMIPA UGM; RSUP Dr. Sardjito
Indonesia/YO-UGM-109424/2020	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	45.0	2020-08-26	2020-11-03	Indonesia	20A	B.1	9073.0	58.0	53.0	Genetics Working Group (Pokja Genetik) Faculty of Medicine, Public Health and Nursing Universitas Gadjah Mada (FK-KMK UGM); Disease Investigation Center Wates Ministry of Agriculture Indonesia; Department of Microbiology FK-KMK UGM; Laboratorium Diagnostik Yayasan Tahija World Mosquito Program (WMP) Yogyakarta Center for Tropical Medicine FK-KMK UGM; Integrated Research Center FK-KMK UGM; Department of Computer Science and Electronics FMIPA UGM
